id,name,market,33types,17types
1368,ダイワ上場投信－ＴＯＰＩＸダブルインバース（－２倍）指数,ETF・ETN,-,-
1369,Ｏｎｅ　ＥＴＦ　日経２２５,ETF・ETN,-,-
1376,カネコ種苗,市場第一部（内国株）,50,1
1377,サカタのタネ,市場第一部（内国株）,50,1
1379,ホクト,市場第一部（内国株）,50,1
1380,秋川牧園,JASDAQ(スタンダード・内国株）,50,1
1381,アクシーズ,JASDAQ(スタンダード・内国株）,50,1
1382,ホーブ,JASDAQ(スタンダード・内国株）,50,1
1383,ベルグアース,JASDAQ(スタンダード・内国株）,50,1
1384,ホクリヨウ,市場第一部（内国株）,50,1
1385,ＵＢＳ　ＥＴＦ　ユーロ圏大型株５０（ユーロ・ストックス５０）,ETF・ETN,-,-
1386,ＵＢＳ　ＥＴＦ　欧州株（ＭＳＣＩヨーロッパ）,ETF・ETN,-,-
1387,ＵＢＳ　ＥＴＦ　ユーロ圏株（ＭＳＣＩ　ＥＭＵ）,ETF・ETN,-,-
1388,ＵＢＳ　ＥＴＦ　ユーロ圏小型株（ＭＳＣＩ　ＥＭＵ小型株）,ETF・ETN,-,-
1389,ＵＢＳ　ＥＴＦ　英国大型株１００（ＦＴＳＥ　１００）,ETF・ETN,-,-
1390,ＵＢＳ　ＥＴＦ　ＭＳＣＩアジア太平洋株（除く日本）,ETF・ETN,-,-
1391,ＵＢＳ　ＥＴＦ　スイス株（ＭＳＣＩスイス２０／３５）,ETF・ETN,-,-
1392,ＵＢＳ　ＥＴＦ　英国株（ＭＳＣＩ英国）,ETF・ETN,-,-
1393,ＵＢＳ　ＥＴＦ　米国株（ＭＳＣＩ米国）,ETF・ETN,-,-
1394,ＵＢＳ　ＥＴＦ　先進国株（ＭＳＣＩワールド）,ETF・ETN,-,-
1397,ＳＭＤＡＭ　日経２２５上場投信,ETF・ETN,-,-
1398,ＳＭＤＡＭ　東証ＲＥＩＴ指数上場投信,ETF・ETN,-,-
1399,上場インデックスファンドＭＳＣＩ日本株高配当低ボラティリティ,ETF・ETN,-,-
1400,ルーデン・ホールディングス,JASDAQ(グロース・内国株）,2050,3
1401,エムビーエス,マザーズ（内国株）,2050,3
1407,ウエストホールディングス,JASDAQ(スタンダード・内国株）,2050,3
1413,ヒノキヤグループ,市場第一部（内国株）,2050,3
1414,ショーボンドホールディングス,市場第一部（内国株）,2050,3
1417,ミライト・ホールディングス,市場第一部（内国株）,2050,3
1418,インターライフホールディングス,JASDAQ(スタンダード・内国株）,2050,3
1419,タマホーム,市場第一部（内国株）,2050,3
1420,サンヨーホームズ,市場第一部（内国株）,2050,3
1429,日本アクア,市場第一部（内国株）,2050,3
1430,ファーストコーポレーション,市場第一部（内国株）,2050,3
1431,Ｌｉｂ　Ｗｏｒｋ,マザーズ（内国株）,2050,3
1432,動力,PRO Market,2050,3
1433,ベステラ,市場第一部（内国株）,2050,3
1434,ＪＥＳＣＯホールディングス,市場第二部（内国株）,2050,3
1435,ＴＡＴＥＲＵ,市場第一部（内国株）,2050,3
1436,フィット,マザーズ（内国株）,2050,3
1439,安江工務店,JASDAQ(スタンダード・内国株）,2050,3
1440,やまぜんホームズ,PRO Market,2050,3
1443,技研ホールディングス,市場第二部（内国株）,2050,3
1444,ニッソウ,PRO Market,2050,3
1445,ひかりホールディングス,PRO Market,2050,3
1446,キャンディル,市場第一部（内国株）,2050,3
1447,ＩＴｂｏｏｋホールディングス,マザーズ（内国株）,2050,3
1448,スペースバリューホールディングス,市場第一部（内国株）,2050,3
1450,田中建設工業,JASDAQ(スタンダード・内国株）,2050,3
1451,ＫＨＣ,市場第二部（内国株）,2050,3
1456,ダイワ上場投信－日経平均インバース・インデックス,ETF・ETN,-,-
1457,ダイワ上場投信－ＴＯＰＩＸインバース（－１倍）指数,ETF・ETN,-,-
1458,楽天ＥＴＦ‐日経レバレッジ指数連動型,ETF・ETN,-,-
1459,楽天ＥＴＦ‐日経ダブルインバース指数連動型,ETF・ETN,-,-
1460,ＭＡＸＩＳ　ＪＡＰＡＮ　クオリティ１５０上場投信,ETF・ETN,-,-
1464,ダイワ上場投信－ＪＰＸ日経４００レバレッジ・インデックス,ETF・ETN,-,-
1465,ダイワ上場投信－ＪＰＸ日経４００インバース・インデックス,ETF・ETN,-,-
1466,ダイワ上場投信－ＪＰＸ日経４００ダブルインバース・インデックス,ETF・ETN,-,-
1467,ＪＰＸ日経４００ブル２倍上場投信（レバレッジ）,ETF・ETN,-,-
1468,ＪＰＸ日経４００ベア上場投信（インバース）,ETF・ETN,-,-
1469,ＪＰＸ日経４００ベア２倍上場投信（ダブルインバース）,ETF・ETN,-,-
1470,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経４００レバレッジ・インデックス連動型上場投信,ETF・ETN,-,-
1471,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経４００インバース・インデックス連動型上場投信,ETF・ETN,-,-
1472,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経４００ダブルインバース・インデックス連動型上場投信,ETF・ETN,-,-
1473,Ｏｎｅ　ＥＴＦ　トピックス,ETF・ETN,-,-
1474,Ｏｎｅ　ＥＴＦ　ＪＰＸ日経４００,ETF・ETN,-,-
1475,ｉシェアーズ・コア　ＴＯＰＩＸ　ＥＴＦ,ETF・ETN,-,-
1476,ｉシェアーズ・コア　Ｊリート　ＥＴＦ,ETF・ETN,-,-
1477,ｉシェアーズ　ＭＳＣＩ　日本株最小分散　ＥＴＦ,ETF・ETN,-,-
1478,ｉシェアーズ　ＭＳＣＩ　ジャパン高配当利回り　ＥＴＦ,ETF・ETN,-,-
1479,ダイワ上場投信－ＭＳＣＩ日本株人材設備投資指数,ETF・ETN,-,-
1480,ＮＥＸＴ　ＦＵＮＤＳ　野村企業価値分配指数連動型上場投信,ETF・ETN,-,-
1481,上場インデックスファンド日本経済貢献株,ETF・ETN,-,-
1482,ｉシェアーズ・コア　米国債７－１０年　ＥＴＦ（為替ヘッジあり）,ETF・ETN,-,-
1483,ｉシェアーズ　ＪＰＸ／Ｓ＆Ｐ設備・人材投資　ＥＴＦ,ETF・ETN,-,-
1484,Ｏｎｅ　ＥＴＦ　ＪＰＸ／Ｓ＆Ｐ　設備・人材投資指数,ETF・ETN,-,-
1485,ＭＡＸＩＳ　ＪＡＰＡＮ　設備・人材積極投資企業２００上場投信,ETF・ETN,-,-
1486,上場インデックスファンド米国債券（為替ヘッジなし）,ETF・ETN,-,-
1487,上場インデックスファンド米国債券（為替ヘッジあり）,ETF・ETN,-,-
1488,ダイワ上場投信－東証ＲＥＩＴ指数,ETF・ETN,-,-
1489,ＮＥＸＴ　ＦＵＮＤＳ　日経平均高配当株５０指数連動型上場投信,ETF・ETN,-,-
1490,上場インデックスファンドＭＳＣＩ日本株高配当低ボラティリティ（βヘッジ）,ETF・ETN,-,-
1491,中外鉱業,市場第二部（内国株）,3500,7
1492,ＭＡＸＩＳ　ＪＰＸ　日経中小型株指数上場投信,ETF・ETN,-,-
1493,Ｏｎｅ　ＥＴＦ　ＪＰＸ日経中小型,ETF・ETN,-,-
1494,Ｏｎｅ　ＥＴＦ　高配当日本株,ETF・ETN,-,-
1495,上場インデックスファンドアジアリート,ETF・ETN,-,-
1496,ｉシェアーズ　米ドル建て投資適格社債　ＥＴＦ（為替ヘッジあり）,ETF・ETN,-,-
1497,ｉシェアーズ　米ドル建てハイイールド社債　ＥＴＦ（為替ヘッジあり）,ETF・ETN,-,-
1498,Ｏｎｅ　ＥＴＦ　ＥＳＧ,ETF・ETN,-,-
1499,ＭＡＸＩＳ日本株高配当７０マーケットニュートラル上場投信,ETF・ETN,-,-
1514,住石ホールディングス,市場第一部（内国株）,1050,2
1515,日鉄鉱業,市場第一部（内国株）,1050,2
1518,三井松島ホールディングス,市場第一部（内国株）,1050,2
1540,純金上場信託（現物国内保管型）,ETF・ETN,-,-
1541,純プラチナ上場信託（現物国内保管型）,ETF・ETN,-,-
1542,純銀上場信託（現物国内保管型）,ETF・ETN,-,-
1543,純パラジウム上場信託（現物国内保管型）,ETF・ETN,-,-
1545,ＮＥＸＴ　ＦＵＮＤＳ　ＮＡＳＤＡＱ－１００連動型上場投信,ETF・ETN,-,-
1546,ＮＥＸＴ　ＦＵＮＤＳ　ダウ・ジョーンズ工業株３０種平均株価連動型上場投信,ETF・ETN,-,-
1547,上場インデックスファンド米国株式（Ｓ＆Ｐ５００）,ETF・ETN,-,-
1550,ＭＡＸＩＳ　海外株式（ＭＳＣＩコクサイ）上場投信,ETF・ETN,-,-
1551,ＪＡＳＤＡＱ－ＴＯＰ２０上場投信,ETF・ETN,-,-
1552,国際のＥＴＦ　ＶＩＸ短期先物指数,ETF・ETN,-,-
1554,上場インデックスファンド世界株式（ＭＳＣＩ　ＡＣＷＩ）除く日本,ETF・ETN,-,-
1555,上場インデックスファンド豪州リート（Ｓ＆Ｐ／ＡＳＸ２００　Ａ‐ＲＥＩＴ）,ETF・ETN,-,-
1557,ＳＰＤＲ　Ｓ＆Ｐ５００　ＥＴＦ,ETF・ETN,-,-
1559,ＮＥＸＴ　ＦＵＮＤＳ　タイ株式ＳＥＴ５０指数連動型上場投信,ETF・ETN,-,-
1560,ＮＥＸＴ　ＦＵＮＤＳ　ＦＴＳＥブルサ・マレーシアＫＬＣＩ連動型上場投信,ETF・ETN,-,-
1563,マザーズ・コア上場投信,ETF・ETN,-,-
1566,上場インデックスファンド新興国債券,ETF・ETN,-,-
1567,ＭＡＸＩＳトピックスリスクコントロール（５％）上場投信,ETF・ETN,-,-
1568,ＴＯＰＩＸブル２倍上場投信,ETF・ETN,-,-
1569,ＴＯＰＩＸベア上場投信,ETF・ETN,-,-
1570,ＮＥＸＴ　ＦＵＮＤＳ　日経平均レバレッジ・インデックス連動型上場投信,ETF・ETN,-,-
1571,ＮＥＸＴ　ＦＵＮＤＳ　日経平均インバース・インデックス連動型上場投信,ETF・ETN,-,-
1572,中国Ｈ株ブル２倍上場投信,ETF・ETN,-,-
1573,中国Ｈ株ベア上場投信,ETF・ETN,-,-
1574,ＭＡＸＩＳトピックスリスクコントロール（１０％）上場投信,ETF・ETN,-,-
1575,ＣｈｉｎａＡＭＣ　ＣＳＩ　３００　Ｉｎｄｅｘ　ＥＴＦ－ＪＤＲ,ETF・ETN,-,-
1576,南方　ＦＴＳＥ　中国Ａ株５０　ＥＴＦ,ETF・ETN,-,-
1577,ＮＥＸＴ　ＦＵＮＤＳ　野村日本株高配当７０連動型上場投信,ETF・ETN,-,-
1578,上場インデックスファンド日経２２５（ミニ）,ETF・ETN,-,-
1579,日経平均ブル２倍上場投信,ETF・ETN,-,-
1580,日経平均ベア上場投信,ETF・ETN,-,-
1584,サムスンＫＯＤＥＸサムスングループ株証券上場指数投資信託［株式］,ETF・ETN,-,-
1585,ダイワ上場投信・ＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ,ETF・ETN,-,-
1586,上場インデックスファンドＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ,ETF・ETN,-,-
1591,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経インデックス４００連動型上場投信,ETF・ETN,-,-
1592,上場インデックスファンドＪＰＸ日経インデックス４００,ETF・ETN,-,-
1593,ＭＡＸＩＳ　ＪＰＸ日経インデックス４００上場投信,ETF・ETN,-,-
1595,ＮＺＡＭ　上場投信　東証ＲＥＩＴ指数,ETF・ETN,-,-
1596,ＮＺＡＭ　上場投信　ＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ,ETF・ETN,-,-
1597,ＭＡＸＩＳ　Ｊリート上場投信,ETF・ETN,-,-
1598,ＮＥＸＴ　ＦＵＮＤＳ　Ｒ／Ｎファンダメンタル・インデックス上場投信,ETF・ETN,-,-
1599,ダイワ上場投信－ＪＰＸ日経４００,ETF・ETN,-,-
1605,国際石油開発帝石,市場第一部（内国株）,1050,2
1613,東証電気機器株価指数連動型上場投資信託,ETF・ETN,-,-
1615,東証銀行業株価指数連動型上場投資信託,ETF・ETN,-,-
1617,ＮＥＸＴ　ＦＵＮＤＳ　食品（ＴＯＰＩＸ－１７）上場投信,ETF・ETN,-,-
1618,ＮＥＸＴ　ＦＵＮＤＳ　エネルギー資源（ＴＯＰＩＸ－１７）上場投信,ETF・ETN,-,-
1619,ＮＥＸＴ　ＦＵＮＤＳ　建設・資材（ＴＯＰＩＸ－１７）上場投信,ETF・ETN,-,-
1620,ＮＥＸＴ　ＦＵＮＤＳ　素材・化学（ＴＯＰＩＸ－１７）上場投信,ETF・ETN,-,-
1621,ＮＥＸＴ　ＦＵＮＤＳ　医薬品（ＴＯＰＩＸ－１７）上場投信,ETF・ETN,-,-
1622,ＮＥＸＴ　ＦＵＮＤＳ　自動車・輸送機（ＴＯＰＩＸ－１７）上場投信,ETF・ETN,-,-
1623,ＮＥＸＴ　ＦＵＮＤＳ　鉄鋼・非鉄（ＴＯＰＩＸ－１７）上場投信,ETF・ETN,-,-
1624,ＮＥＸＴ　ＦＵＮＤＳ　機械（ＴＯＰＩＸ－１７）上場投信,ETF・ETN,-,-
1625,ＮＥＸＴ　ＦＵＮＤＳ　電機・精密（ＴＯＰＩＸ－１７）上場投信,ETF・ETN,-,-
1626,ＮＥＸＴ　ＦＵＮＤＳ　情報通信・サービスその他（ＴＯＰＩＸ－１７）上場投信,ETF・ETN,-,-
1627,ＮＥＸＴ　ＦＵＮＤＳ　電力・ガス（ＴＯＰＩＸ－１７）上場投信,ETF・ETN,-,-
1628,ＮＥＸＴ　ＦＵＮＤＳ　運輸・物流（ＴＯＰＩＸ－１７）上場投信,ETF・ETN,-,-
1629,ＮＥＸＴ　ＦＵＮＤＳ　商社・卸売（ＴＯＰＩＸ－１７）上場投信,ETF・ETN,-,-
1630,ＮＥＸＴ　ＦＵＮＤＳ　小売（ＴＯＰＩＸ－１７）上場投信,ETF・ETN,-,-
1631,ＮＥＸＴ　ＦＵＮＤＳ　銀行（ＴＯＰＩＸ－１７）上場投信,ETF・ETN,-,-
1632,ＮＥＸＴ　ＦＵＮＤＳ　金融（除く銀行）（ＴＯＰＩＸ－１７）上場投信,ETF・ETN,-,-
1633,ＮＥＸＴ　ＦＵＮＤＳ　不動産（ＴＯＰＩＸ－１７）上場投信,ETF・ETN,-,-
1651,ダイワ上場投信－ＴＯＰＩＸ高配当４０指数,ETF・ETN,-,-
1652,ダイワ上場投信－ＭＳＣＩ日本株女性活躍指数（ＷＩＮ）,ETF・ETN,-,-
1653,ダイワ上場投信－ＭＳＣＩジャパンＥＳＧセレクト・リーダーズ指数,ETF・ETN,-,-
1654,ダイワ上場投信－ＦＴＳＥ　Ｂｌｏｓｓｏｍ　Ｊａｐａｎ　Ｉｎｄｅｘ,ETF・ETN,-,-
1655,ｉシェアーズ　Ｓ＆Ｐ　５００　米国株　ＥＴＦ,ETF・ETN,-,-
1656,ｉシェアーズ・コア　米国債７－１０年　ＥＴＦ,ETF・ETN,-,-
1657,ｉシェアーズ・コア　ＭＳＣＩ　先進国株（除く日本）　ＥＴＦ,ETF・ETN,-,-
1658,ｉシェアーズ・コア　ＭＳＣＩ　新興国株　ＥＴＦ,ETF・ETN,-,-
1659,ｉシェアーズ　米国リート　ＥＴＦ,ETF・ETN,-,-
1660,ＭＡＸＩＳ高利回りＪリート上場投信,ETF・ETN,-,-
1662,石油資源開発,市場第一部（内国株）,1050,2
1663,Ｋ＆Ｏエナジーグループ,市場第一部（内国株）,1050,2
1670,ＭＡＸＩＳ　Ｓ＆Ｐ三菱系企業群上場投信,ETF・ETN,-,-
1671,ＷＴＩ原油価格連動型上場投信,ETF・ETN,-,-
1672,ＷｉｓｄｏｍＴｒｅｅ　金上場投資信託,ETF・ETN,-,-
1673,ＷｉｓｄｏｍＴｒｅｅ　銀上場投資信託,ETF・ETN,-,-
1674,ＷｉｓｄｏｍＴｒｅｅ　白金上場投資信託,ETF・ETN,-,-
1675,ＷｉｓｄｏｍＴｒｅｅ　パラジウム上場投資信託,ETF・ETN,-,-
1676,ＷｉｓｄｏｍＴｒｅｅ　貴金属バスケット上場投資信託,ETF・ETN,-,-
1677,上場インデックスファンド海外債券（ＦＴＳＥ　ＷＧＢＩ）毎月分配型,ETF・ETN,-,-
1678,ＮＥＸＴ　ＦＵＮＤＳ　インド株式指数・Ｎｉｆｔｙ　５０連動型上場投信,ETF・ETN,-,-
1679,Ｓｉｍｐｌｅ－Ｘ　ＮＹダウ・ジョーンズ・インデックス上場投信,ETF・ETN,-,-
